strategy,threshold_usd,wall_s,total_pnl_usd,n_trades,n_days_with_pnl,mean_pnl_per_trade_usd,hit_rate,sharpe,sortino,max_drawdown_usd,avg_entry_cost_bps,avg_exit_cost_bps
round_price_lp,100000.0,151.39189887046814,75318.59091240162,67,53,1124.1580733194269,0.5074626865671642,5.958114908120228,137.73495230918147,-817.4968826170516,4638.580435922929,8639.135798234216
round_price_lp,300000.0,72.2438793182373,27905.200478205392,15,11,1860.346698547026,0.4,6.654034952257357,411.8056786137344,-227.99541787197364,8865.003277488402,13556.655608975509
round_price_lp,500000.0,61.313185691833496,-222.49902725861804,2,2,-111.24951362930902,0.0,-11.858760536746916,-11.858760536746916,-5.945701357466049,277.87912495365185,193.793103448276
calendar_butterfly,100000.0,500.62779927253723,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
calendar_butterfly,300000.0,207.704918384552,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
calendar_butterfly,500000.0,145.69390296936035,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hazard_ladder,100000.0,518.3289287090302,1423.3335582031298,3,2,474.44451940104324,1.0,33.888723556883626,0.0,0.0,391.573876611941,47418.376084999996
hazard_ladder,300000.0,208.77914214134216,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hazard_ladder,500000.0,148.9333086013794,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
uma_dispute_discount,100000.0,418.13661789894104,-94.91764705882353,1,1,-94.91764705882353,0.0,,0.0,0.0,4353.333333333333,4725.882352941177
uma_dispute_discount,300000.0,184.1535885334015,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
uma_dispute_discount,500000.0,131.44022703170776,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
